DBN,School,Year,Total Enrollment,Num_PK,Num_K,Num_G1,Num_G2,Num_G3,Num_G4,Num_G5,Num_G6,Num_G7,Num_G8,Num_G9,Num_G10,Num_G11,Num_G12,Female,Male,Asian,Black,Hispanic,Multiple,White,Disability,ELL,Poverty,Need_Index
01M184,P.S. 184m Shuang Wen,2018-19,678,36,63,64,64,50,65,62,101,88,85,0,0,0,0,0.497050136,0.502949834,0.690265477,0.039823011,0.131268442,0.063421831,0.075221241,0.156342179,0.1460177,0.676991165,0.66220504
01M188,P.S. 188 The Island School,2014-15,482,33,38,47,46,41,53,51,51,54,68,0,0,0,0,0.475103736,0.524896264,0.0186722,0.313278019,0.616182566,0.002074689,0.049792532,0.271784246,0.147302911,0.854771793,0.908207417
01M188,P.S. 188 The Island School,2015-16,489,31,47,48,50,43,43,54,52,60,61,0,0,0,0,0.441717803,0.558282197,0.018404908,0.296523511,0.638036788,0.004089979,0.042944785,0.298568517,0.157464206,0.867075682,0.921290398
01M188,P.S. 188 The Island School,2016-17,445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,0.438202262,0.561797738,0.02247191,0.31685394,0.624719083,0.002247191,0.033707865,0.310112357,0.143820226,0.858426988,0.926995516
01M188,P.S. 188 The Island School,2017-18,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,0.427251726,0.572748244,0.01847575,0.293302536,0.660508096,0,0.027713627,0.311778277,0.159353346,0.921478033,0.953909934
01M188,P.S. 188 The Island School,2018-19,407,16,24,37,32,49,39,55,48,54,53,0,0,0,0,0.444717437,0.555282533,0.014742015,0.329238325,0.611793637,0.007371007,0.036855038,0.339066327,0.073710077,0.936117947,0.962326765
01M292,Orchard Collegiate Academy,2014-15,255,0,0,0,0,0,0,0,17,14,19,59,52,36,58,0.376470596,0.623529434,0.125490203,0.258823544,0.556862772,0.023529412,0.035294119,0.325490206,0.117647059,0.890196085,0.840118945
01M292,Orchard Collegiate Academy,2015-16,185,0,0,0,0,0,0,0,0,14,11,42,49,37,32,0.367567569,0.632432461,0.118918918,0.264864862,0.572972953,0.010810811,0.032432433,0.345945954,0.14054054,0.881081104,0.87255007
01M292,Orchard Collegiate Academy,2016-17,140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,0.378571421,0.621428549,0.150000006,0.242857143,0.550000012,0.007142857,0.050000001,0.271428585,0.142857149,0.914285719,0.847478569
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,0.473684222,0.526315808,0.111111112,0.251461983,0.567251444,0.023391813,0.046783626,0.239766076,0.134502918,0.918128669,0.899426877
01M292,Orchard Collegiate Academy,2018-19,197,0,0,0,0,0,0,0,0,0,0,67,70,35,25,0.461928934,0.538071036,0.0964467,0.269035518,0.568527937,0.035532996,0.030456852,0.279187828,0.116751269,0.812182724,0.867203057
01M315,The East Village Community School,2014-15,289,36,45,48,45,44,28,43,0,0,0,0,0,0,0,0.453287184,0.546712816,0.100346021,0.110726647,0.221453294,0.05882353,0.508650541,0.245674744,0.013840831,0.287197232,0.326180369
